n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error,shots
1,0.0,0.0,X,0,E1_before_H,1.0,0.0,1024
1,0.0,0.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.0,0.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.0,0.0,X,0,E4_after_final_H,1.0,0.0,1024
1,0.0,0.0,X,0,no_error,1.0,0.0,1024
1,0.0,0.0,Y,0,E1_before_H,1.0,0.0,1024
1,0.0,0.0,Y,0,E2_after_first_H,1.0,0.0,1024
1,0.0,0.0,Y,0,E3_after_oracle,1.0,0.0,1024
1,0.0,0.0,Y,0,E4_after_final_H,1.0,0.0,1024
1,0.0,0.0,Y,0,no_error,1.0,0.0,1024
1,0.0,0.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.0,0.0,Z,0,E2_after_first_H,1.0,0.0,1024
1,0.0,0.0,Z,0,E3_after_oracle,1.0,0.0,1024
1,0.0,0.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.0,0.0,Z,0,no_error,1.0,0.0,1024
1,0.017453292519943295,1.0,X,0,E1_before_H,0.9996744791666666,0.0003253618487898656,1024
1,0.017453292519943295,1.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.017453292519943295,1.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.017453292519943295,1.0,X,0,E4_after_final_H,1.0,0.0,1024
1,0.017453292519943295,1.0,X,0,no_error,1.0,0.0,1024
1,0.017453292519943295,1.0,Y,0,E1_before_H,1.0,0.0,1024
1,0.017453292519943295,1.0,Y,0,E2_after_first_H,1.0,0.0,1024
1,0.017453292519943295,1.0,Y,0,E3_after_oracle,1.0,0.0,1024
1,0.017453292519943295,1.0,Y,0,E4_after_final_H,0.9996744791666666,0.0003253618487898656,1024
1,0.017453292519943295,1.0,Y,0,no_error,1.0,0.0,1024
1,0.017453292519943295,1.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.017453292519943295,1.0,Z,0,E2_after_first_H,1.0,0.0,1024
1,0.017453292519943295,1.0,Z,0,E3_after_oracle,1.0,0.0,1024
1,0.017453292519943295,1.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.017453292519943295,1.0,Z,0,no_error,1.0,0.0,1024
1,0.03490658503988659,2.0,X,0,E1_before_H,1.0,0.0,1024
1,0.03490658503988659,2.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.03490658503988659,2.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.03490658503988659,2.0,X,0,E4_after_final_H,0.9996744791666666,0.0003253618487898656,1024
1,0.03490658503988659,2.0,X,0,no_error,1.0,0.0,1024
1,0.03490658503988659,2.0,Y,0,E1_before_H,1.0,0.0,1024
1,0.03490658503988659,2.0,Y,0,E2_after_first_H,0.9996744791666666,0.0003253618487898656,1024
1,0.03490658503988659,2.0,Y,0,E3_after_oracle,1.0,0.0,1024
1,0.03490658503988659,2.0,Y,0,E4_after_final_H,1.0,0.0,1024
1,0.03490658503988659,2.0,Y,0,no_error,1.0,0.0,1024
1,0.03490658503988659,2.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.03490658503988659,2.0,Z,0,E2_after_first_H,0.9996744791666666,0.0003253618487898656,1024
1,0.03490658503988659,2.0,Z,0,E3_after_oracle,1.0,0.0,1024
1,0.03490658503988659,2.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.03490658503988659,2.0,Z,0,no_error,1.0,0.0,1024
1,0.05235987755982989,3.0000000000000004,X,0,E1_before_H,0.9993489583333334,0.0006507236975797313,1024
1,0.05235987755982989,3.0000000000000004,X,0,E2_after_first_H,1.0,0.0,1024
1,0.05235987755982989,3.0000000000000004,X,0,E3_after_oracle,1.0,0.0,1024
1,0.05235987755982989,3.0000000000000004,X,0,E4_after_final_H,0.9993489583333334,0.00045990619122140763,1024
1,0.05235987755982989,3.0000000000000004,X,0,no_error,1.0,0.0,1024
1,0.05235987755982989,3.0000000000000004,Y,0,E1_before_H,0.9990234375,0.0007852680400112734,1024
1,0.05235987755982989,3.0000000000000004,Y,0,E2_after_first_H,0.9986979166666666,0.0009198123824428153,1024
1,0.05235987755982989,3.0000000000000004,Y,0,E3_after_oracle,0.9993489583333334,0.0006507236975797313,1024
1,0.05235987755982989,3.0000000000000004,Y,0,E4_after_final_H,0.9986979166666666,0.001110629888801139,1024
1,0.05235987755982989,3.0000000000000004,Y,0,no_error,1.0,0.0,1024
1,0.05235987755982989,3.0000000000000004,Z,0,E1_before_H,1.0,0.0,1024
1,0.05235987755982989,3.0000000000000004,Z,0,E2_after_first_H,1.0,0.0,1024
1,0.05235987755982989,3.0000000000000004,Z,0,E3_after_oracle,0.9990234375,0.0005629921102710657,1024
1,0.05235987755982989,3.0000000000000004,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.05235987755982989,3.0000000000000004,Z,0,no_error,1.0,0.0,1024
1,0.06981317007977318,4.0,X,0,E1_before_H,0.9990234375,0.0007852680400112734,1024
1,0.06981317007977318,4.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.06981317007977318,4.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.06981317007977318,4.0,X,0,E4_after_final_H,0.9990234375,0.0007852680400112734,1024
1,0.06981317007977318,4.0,X,0,no_error,1.0,0.0,1024
1,0.06981317007977318,4.0,Y,0,E1_before_H,0.998046875,0.0013004925542965003,1024
1,0.06981317007977318,4.0,Y,0,E2_after_first_H,0.9990234375,0.0007852680400112734,1024
1,0.06981317007977318,4.0,Y,0,E3_after_oracle,0.9996744791666666,0.0003253618487898656,1024
1,0.06981317007977318,4.0,Y,0,E4_after_final_H,0.9990234375,0.0005629921102710657,1024
1,0.06981317007977318,4.0,Y,0,no_error,1.0,0.0,1024
