n,p,target_qubit,function,error_position,P0,success,shots
9,0.0,4,constant_1,no_error,1.0,1.0,2048
9,0.0,4,constant_1,D(P)1_before_H,1.0,1.0,2048
9,0.0,4,constant_1,D(P)2_after_first_H,1.0,1.0,2048
9,0.0,4,constant_1,D(P)3_after_oracle,1.0,1.0,2048
9,0.0,4,constant_1,D(P)4_after_final_H,1.0,1.0,2048
9,0.05,4,constant_1,no_error,1.0,1.0,2048
9,0.05,4,constant_1,D(P)1_before_H,0.9736328125,0.9736328125,2048
9,0.05,4,constant_1,D(P)2_after_first_H,0.974609375,0.974609375,2048
9,0.05,4,constant_1,D(P)3_after_oracle,0.97900390625,0.97900390625,2048
9,0.05,4,constant_1,D(P)4_after_final_H,0.9755859375,0.9755859375,2048
9,0.1,4,constant_1,no_error,1.0,1.0,2048
9,0.1,4,constant_1,D(P)1_before_H,0.94287109375,0.94287109375,2048
9,0.1,4,constant_1,D(P)2_after_first_H,0.94921875,0.94921875,2048
9,0.1,4,constant_1,D(P)3_after_oracle,0.94091796875,0.94091796875,2048
9,0.1,4,constant_1,D(P)4_after_final_H,0.94482421875,0.94482421875,2048
9,0.15000000000000002,4,constant_1,no_error,1.0,1.0,2048
9,0.15000000000000002,4,constant_1,D(P)1_before_H,0.92724609375,0.92724609375,2048
9,0.15000000000000002,4,constant_1,D(P)2_after_first_H,0.935546875,0.935546875,2048
9,0.15000000000000002,4,constant_1,D(P)3_after_oracle,0.9228515625,0.9228515625,2048
9,0.15000000000000002,4,constant_1,D(P)4_after_final_H,0.9228515625,0.9228515625,2048
9,0.2,4,constant_1,no_error,1.0,1.0,2048
9,0.2,4,constant_1,D(P)1_before_H,0.9052734375,0.9052734375,2048
9,0.2,4,constant_1,D(P)2_after_first_H,0.87548828125,0.87548828125,2048
9,0.2,4,constant_1,D(P)3_after_oracle,0.9189453125,0.9189453125,2048
9,0.2,4,constant_1,D(P)4_after_final_H,0.91259765625,0.91259765625,2048
9,0.25,4,constant_1,no_error,1.0,1.0,2048
9,0.25,4,constant_1,D(P)1_before_H,0.87939453125,0.87939453125,2048
9,0.25,4,constant_1,D(P)2_after_first_H,0.87890625,0.87890625,2048
9,0.25,4,constant_1,D(P)3_after_oracle,0.8896484375,0.8896484375,2048
9,0.25,4,constant_1,D(P)4_after_final_H,0.875,0.875,2048
9,0.30000000000000004,4,constant_1,no_error,1.0,1.0,2048
9,0.30000000000000004,4,constant_1,D(P)1_before_H,0.8447265625,0.8447265625,2048
9,0.30000000000000004,4,constant_1,D(P)2_after_first_H,0.84423828125,0.84423828125,2048
9,0.30000000000000004,4,constant_1,D(P)3_after_oracle,0.8505859375,0.8505859375,2048
9,0.30000000000000004,4,constant_1,D(P)4_after_final_H,0.859375,0.859375,2048
9,0.35000000000000003,4,constant_1,no_error,1.0,1.0,2048
9,0.35000000000000003,4,constant_1,D(P)1_before_H,0.81787109375,0.81787109375,2048
9,0.35000000000000003,4,constant_1,D(P)2_after_first_H,0.82958984375,0.82958984375,2048
9,0.35000000000000003,4,constant_1,D(P)3_after_oracle,0.83837890625,0.83837890625,2048
9,0.35000000000000003,4,constant_1,D(P)4_after_final_H,0.82275390625,0.82275390625,2048
9,0.4,4,constant_1,no_error,1.0,1.0,2048
9,0.4,4,constant_1,D(P)1_before_H,0.79443359375,0.79443359375,2048
9,0.4,4,constant_1,D(P)2_after_first_H,0.79638671875,0.79638671875,2048
9,0.4,4,constant_1,D(P)3_after_oracle,0.7880859375,0.7880859375,2048
9,0.4,4,constant_1,D(P)4_after_final_H,0.81201171875,0.81201171875,2048
9,0.45,4,constant_1,no_error,1.0,1.0,2048
9,0.45,4,constant_1,D(P)1_before_H,0.76611328125,0.76611328125,2048
9,0.45,4,constant_1,D(P)2_after_first_H,0.76904296875,0.76904296875,2048
9,0.45,4,constant_1,D(P)3_after_oracle,0.771484375,0.771484375,2048
9,0.45,4,constant_1,D(P)4_after_final_H,0.765625,0.765625,2048
9,0.5,4,constant_1,no_error,1.0,1.0,2048
9,0.5,4,constant_1,D(P)1_before_H,0.771484375,0.771484375,2048
9,0.5,4,constant_1,D(P)2_after_first_H,0.7548828125,0.7548828125,2048
9,0.5,4,constant_1,D(P)3_after_oracle,0.74658203125,0.74658203125,2048
9,0.5,4,constant_1,D(P)4_after_final_H,0.75146484375,0.75146484375,2048
9,0.55,4,constant_1,no_error,1.0,1.0,2048
9,0.55,4,constant_1,D(P)1_before_H,0.7431640625,0.7431640625,2048
9,0.55,4,constant_1,D(P)2_after_first_H,0.72216796875,0.72216796875,2048
9,0.55,4,constant_1,D(P)3_after_oracle,0.72900390625,0.72900390625,2048
9,0.55,4,constant_1,D(P)4_after_final_H,0.69677734375,0.69677734375,2048
9,0.6000000000000001,4,constant_1,no_error,1.0,1.0,2048
9,0.6000000000000001,4,constant_1,D(P)1_before_H,0.70361328125,0.70361328125,2048
9,0.6000000000000001,4,constant_1,D(P)2_after_first_H,0.69970703125,0.69970703125,2048
9,0.6000000000000001,4,constant_1,D(P)3_after_oracle,0.728515625,0.728515625,2048
9,0.6000000000000001,4,constant_1,D(P)4_after_final_H,0.70263671875,0.70263671875,2048
9,0.65,4,constant_1,no_error,1.0,1.0,2048
9,0.65,4,constant_1,D(P)1_before_H,0.66552734375,0.66552734375,2048
9,0.65,4,constant_1,D(P)2_after_first_H,0.681640625,0.681640625,2048
9,0.65,4,constant_1,D(P)3_after_oracle,0.6630859375,0.6630859375,2048
9,0.65,4,constant_1,D(P)4_after_final_H,0.67578125,0.67578125,2048
9,0.7000000000000001,4,constant_1,no_error,1.0,1.0,2048
9,0.7000000000000001,4,constant_1,D(P)1_before_H,0.6630859375,0.6630859375,2048
9,0.7000000000000001,4,constant_1,D(P)2_after_first_H,0.65771484375,0.65771484375,2048
9,0.7000000000000001,4,constant_1,D(P)3_after_oracle,0.65087890625,0.65087890625,2048
9,0.7000000000000001,4,constant_1,D(P)4_after_final_H,0.65087890625,0.65087890625,2048
9,0.75,4,constant_1,no_error,1.0,1.0,2048
9,0.75,4,constant_1,D(P)1_before_H,0.6220703125,0.6220703125,2048
9,0.75,4,constant_1,D(P)2_after_first_H,0.62109375,0.62109375,2048
9,0.75,4,constant_1,D(P)3_after_oracle,0.62744140625,0.62744140625,2048
9,0.75,4,constant_1,D(P)4_after_final_H,0.623046875,0.623046875,2048
9,0.8,4,constant_1,no_error,1.0,1.0,2048
9,0.8,4,constant_1,D(P)1_before_H,0.591796875,0.591796875,2048
9,0.8,4,constant_1,D(P)2_after_first_H,0.60888671875,0.60888671875,2048
9,0.8,4,constant_1,D(P)3_after_oracle,0.60595703125,0.60595703125,2048
9,0.8,4,constant_1,D(P)4_after_final_H,0.58984375,0.58984375,2048
9,0.8500000000000001,4,constant_1,no_error,1.0,1.0,2048
9,0.8500000000000001,4,constant_1,D(P)1_before_H,0.578125,0.578125,2048
9,0.8500000000000001,4,constant_1,D(P)2_after_first_H,0.583984375,0.583984375,2048
9,0.8500000000000001,4,constant_1,D(P)3_after_oracle,0.583984375,0.583984375,2048
9,0.8500000000000001,4,constant_1,D(P)4_after_final_H,0.57373046875,0.57373046875,2048
9,0.9,4,constant_1,no_error,1.0,1.0,2048
9,0.9,4,constant_1,D(P)1_before_H,0.5537109375,0.5537109375,2048
9,0.9,4,constant_1,D(P)2_after_first_H,0.54833984375,0.54833984375,2048
9,0.9,4,constant_1,D(P)3_after_oracle,0.55224609375,0.55224609375,2048
9,0.9,4,constant_1,D(P)4_after_final_H,0.54052734375,0.54052734375,2048
9,0.9500000000000001,4,constant_1,no_error,1.0,1.0,2048
9,0.9500000000000001,4,constant_1,D(P)1_before_H,0.5205078125,0.5205078125,2048
9,0.9500000000000001,4,constant_1,D(P)2_after_first_H,0.52392578125,0.52392578125,2048
9,0.9500000000000001,4,constant_1,D(P)3_after_oracle,0.52294921875,0.52294921875,2048
9,0.9500000000000001,4,constant_1,D(P)4_after_final_H,0.53857421875,0.53857421875,2048
9,1.0,4,constant_1,no_error,1.0,1.0,2048
9,1.0,4,constant_1,D(P)1_before_H,0.4951171875,0.4951171875,2048
9,1.0,4,constant_1,D(P)2_after_first_H,0.48876953125,0.48876953125,2048
9,1.0,4,constant_1,D(P)3_after_oracle,0.49267578125,0.49267578125,2048
9,1.0,4,constant_1,D(P)4_after_final_H,0.494140625,0.494140625,2048
9,0.0,4,constant_0,no_error,1.0,1.0,2048
9,0.0,4,constant_0,D(P)1_before_H,1.0,1.0,2048
9,0.0,4,constant_0,D(P)2_after_first_H,1.0,1.0,2048
9,0.0,4,constant_0,D(P)3_after_oracle,1.0,1.0,2048
9,0.0,4,constant_0,D(P)4_after_final_H,1.0,1.0,2048
9,0.05,4,constant_0,no_error,1.0,1.0,2048
9,0.05,4,constant_0,D(P)1_before_H,0.98095703125,0.98095703125,2048
9,0.05,4,constant_0,D(P)2_after_first_H,0.97509765625,0.97509765625,2048
9,0.05,4,constant_0,D(P)3_after_oracle,0.9736328125,0.9736328125,2048
9,0.05,4,constant_0,D(P)4_after_final_H,0.98095703125,0.98095703125,2048
9,0.1,4,constant_0,no_error,1.0,1.0,2048
9,0.1,4,constant_0,D(P)1_before_H,0.95947265625,0.95947265625,2048
9,0.1,4,constant_0,D(P)2_after_first_H,0.95703125,0.95703125,2048
9,0.1,4,constant_0,D(P)3_after_oracle,0.9501953125,0.9501953125,2048
9,0.1,4,constant_0,D(P)4_after_final_H,0.94970703125,0.94970703125,2048
9,0.15000000000000002,4,constant_0,no_error,1.0,1.0,2048
9,0.15000000000000002,4,constant_0,D(P)1_before_H,0.9296875,0.9296875,2048
9,0.15000000000000002,4,constant_0,D(P)2_after_first_H,0.9306640625,0.9306640625,2048
9,0.15000000000000002,4,constant_0,D(P)3_after_oracle,0.923828125,0.923828125,2048
9,0.15000000000000002,4,constant_0,D(P)4_after_final_H,0.92724609375,0.92724609375,2048
9,0.2,4,constant_0,no_error,1.0,1.0,2048
9,0.2,4,constant_0,D(P)1_before_H,0.87939453125,0.87939453125,2048
9,0.2,4,constant_0,D(P)2_after_first_H,0.89111328125,0.89111328125,2048
9,0.2,4,constant_0,D(P)3_after_oracle,0.9013671875,0.9013671875,2048
9,0.2,4,constant_0,D(P)4_after_final_H,0.896484375,0.896484375,2048
9,0.25,4,constant_0,no_error,1.0,1.0,2048
9,0.25,4,constant_0,D(P)1_before_H,0.87548828125,0.87548828125,2048
9,0.25,4,constant_0,D(P)2_after_first_H,0.8671875,0.8671875,2048
9,0.25,4,constant_0,D(P)3_after_oracle,0.8759765625,0.8759765625,2048
9,0.25,4,constant_0,D(P)4_after_final_H,0.88037109375,0.88037109375,2048
9,0.30000000000000004,4,constant_0,no_error,1.0,1.0,2048
9,0.30000000000000004,4,constant_0,D(P)1_before_H,0.865234375,0.865234375,2048
9,0.30000000000000004,4,constant_0,D(P)2_after_first_H,0.84814453125,0.84814453125,2048
9,0.30000000000000004,4,constant_0,D(P)3_after_oracle,0.85693359375,0.85693359375,2048
9,0.30000000000000004,4,constant_0,D(P)4_after_final_H,0.8505859375,0.8505859375,2048
9,0.35000000000000003,4,constant_0,no_error,1.0,1.0,2048
9,0.35000000000000003,4,constant_0,D(P)1_before_H,0.83251953125,0.83251953125,2048
9,0.35000000000000003,4,constant_0,D(P)2_after_first_H,0.826171875,0.826171875,2048
9,0.35000000000000003,4,constant_0,D(P)3_after_oracle,0.8310546875,0.8310546875,2048
9,0.35000000000000003,4,constant_0,D(P)4_after_final_H,0.83349609375,0.83349609375,2048
9,0.4,4,constant_0,no_error,1.0,1.0,2048
9,0.4,4,constant_0,D(P)1_before_H,0.8037109375,0.8037109375,2048
9,0.4,4,constant_0,D(P)2_after_first_H,0.81005859375,0.81005859375,2048
9,0.4,4,constant_0,D(P)3_after_oracle,0.80859375,0.80859375,2048
9,0.4,4,constant_0,D(P)4_after_final_H,0.80712890625,0.80712890625,2048
9,0.45,4,constant_0,no_error,1.0,1.0,2048
9,0.45,4,constant_0,D(P)1_before_H,0.77783203125,0.77783203125,2048
9,0.45,4,constant_0,D(P)2_after_first_H,0.77197265625,0.77197265625,2048
9,0.45,4,constant_0,D(P)3_after_oracle,0.76708984375,0.76708984375,2048
9,0.45,4,constant_0,D(P)4_after_final_H,0.78076171875,0.78076171875,2048
9,0.5,4,constant_0,no_error,1.0,1.0,2048
9,0.5,4,constant_0,D(P)1_before_H,0.73876953125,0.73876953125,2048
9,0.5,4,constant_0,D(P)2_after_first_H,0.75048828125,0.75048828125,2048
9,0.5,4,constant_0,D(P)3_after_oracle,0.74853515625,0.74853515625,2048
9,0.5,4,constant_0,D(P)4_after_final_H,0.7392578125,0.7392578125,2048
9,0.55,4,constant_0,no_error,1.0,1.0,2048
9,0.55,4,constant_0,D(P)1_before_H,0.7392578125,0.7392578125,2048
9,0.55,4,constant_0,D(P)2_after_first_H,0.7216796875,0.7216796875,2048
9,0.55,4,constant_0,D(P)3_after_oracle,0.7421875,0.7421875,2048
9,0.55,4,constant_0,D(P)4_after_final_H,0.73291015625,0.73291015625,2048
9,0.6000000000000001,4,constant_0,no_error,1.0,1.0,2048
9,0.6000000000000001,4,constant_0,D(P)1_before_H,0.69921875,0.69921875,2048
9,0.6000000000000001,4,constant_0,D(P)2_after_first_H,0.70751953125,0.70751953125,2048
9,0.6000000000000001,4,constant_0,D(P)3_after_oracle,0.68798828125,0.68798828125,2048
9,0.6000000000000001,4,constant_0,D(P)4_after_final_H,0.70458984375,0.70458984375,2048
9,0.65,4,constant_0,no_error,1.0,1.0,2048
9,0.65,4,constant_0,D(P)1_before_H,0.6533203125,0.6533203125,2048
9,0.65,4,constant_0,D(P)2_after_first_H,0.66748046875,0.66748046875,2048
9,0.65,4,constant_0,D(P)3_after_oracle,0.68994140625,0.68994140625,2048
9,0.65,4,constant_0,D(P)4_after_final_H,0.68212890625,0.68212890625,2048
9,0.7000000000000001,4,constant_0,no_error,1.0,1.0,2048
9,0.7000000000000001,4,constant_0,D(P)1_before_H,0.64892578125,0.64892578125,2048
9,0.7000000000000001,4,constant_0,D(P)2_after_first_H,0.67041015625,0.67041015625,2048
9,0.7000000000000001,4,constant_0,D(P)3_after_oracle,0.6455078125,0.6455078125,2048
