n,p,target_qubit,function,error_position,P0,success,shots
1,0.0,0,constant_1,no_error,1.0,1.0,1024
1,0.0,0,constant_1,D(P)1_before_H,1.0,1.0,1024
1,0.0,0,constant_1,D(P)2_after_first_H,1.0,1.0,1024
1,0.0,0,constant_1,D(P)3_after_oracle,1.0,1.0,1024
1,0.0,0,constant_1,D(P)4_after_final_H,1.0,1.0,1024
1,0.05,0,constant_1,no_error,1.0,1.0,1024
1,0.05,0,constant_1,D(P)1_before_H,0.9755859375,0.9755859375,1024
1,0.05,0,constant_1,D(P)2_after_first_H,0.9765625,0.9765625,1024
1,0.05,0,constant_1,D(P)3_after_oracle,0.9814453125,0.9814453125,1024
1,0.05,0,constant_1,D(P)4_after_final_H,0.9736328125,0.9736328125,1024
1,0.1,0,constant_1,no_error,1.0,1.0,1024
1,0.1,0,constant_1,D(P)1_before_H,0.951171875,0.951171875,1024
1,0.1,0,constant_1,D(P)2_after_first_H,0.9580078125,0.9580078125,1024
1,0.1,0,constant_1,D(P)3_after_oracle,0.958984375,0.958984375,1024
1,0.1,0,constant_1,D(P)4_after_final_H,0.94140625,0.94140625,1024
1,0.15000000000000002,0,constant_1,no_error,1.0,1.0,1024
1,0.15000000000000002,0,constant_1,D(P)1_before_H,0.9150390625,0.9150390625,1024
1,0.15000000000000002,0,constant_1,D(P)2_after_first_H,0.9296875,0.9296875,1024
1,0.15000000000000002,0,constant_1,D(P)3_after_oracle,0.9228515625,0.9228515625,1024
1,0.15000000000000002,0,constant_1,D(P)4_after_final_H,0.9296875,0.9296875,1024
1,0.2,0,constant_1,no_error,1.0,1.0,1024
1,0.2,0,constant_1,D(P)1_before_H,0.896484375,0.896484375,1024
1,0.2,0,constant_1,D(P)2_after_first_H,0.900390625,0.900390625,1024
1,0.2,0,constant_1,D(P)3_after_oracle,0.908203125,0.908203125,1024
1,0.2,0,constant_1,D(P)4_after_final_H,0.8916015625,0.8916015625,1024
1,0.25,0,constant_1,no_error,1.0,1.0,1024
1,0.25,0,constant_1,D(P)1_before_H,0.8759765625,0.8759765625,1024
1,0.25,0,constant_1,D(P)2_after_first_H,0.869140625,0.869140625,1024
1,0.25,0,constant_1,D(P)3_after_oracle,0.861328125,0.861328125,1024
1,0.25,0,constant_1,D(P)4_after_final_H,0.869140625,0.869140625,1024
1,0.30000000000000004,0,constant_1,no_error,1.0,1.0,1024
1,0.30000000000000004,0,constant_1,D(P)1_before_H,0.8408203125,0.8408203125,1024
1,0.30000000000000004,0,constant_1,D(P)2_after_first_H,0.857421875,0.857421875,1024
1,0.30000000000000004,0,constant_1,D(P)3_after_oracle,0.86328125,0.86328125,1024
1,0.30000000000000004,0,constant_1,D(P)4_after_final_H,0.861328125,0.861328125,1024
1,0.35000000000000003,0,constant_1,no_error,1.0,1.0,1024
1,0.35000000000000003,0,constant_1,D(P)1_before_H,0.82421875,0.82421875,1024
1,0.35000000000000003,0,constant_1,D(P)2_after_first_H,0.810546875,0.810546875,1024
1,0.35000000000000003,0,constant_1,D(P)3_after_oracle,0.8251953125,0.8251953125,1024
1,0.35000000000000003,0,constant_1,D(P)4_after_final_H,0.8193359375,0.8193359375,1024
1,0.4,0,constant_1,no_error,1.0,1.0,1024
1,0.4,0,constant_1,D(P)1_before_H,0.7841796875,0.7841796875,1024
1,0.4,0,constant_1,D(P)2_after_first_H,0.7958984375,0.7958984375,1024
1,0.4,0,constant_1,D(P)3_after_oracle,0.7939453125,0.7939453125,1024
1,0.4,0,constant_1,D(P)4_after_final_H,0.7958984375,0.7958984375,1024
