n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success,shots
1,0.0,0.0,X,0,constant_0,no_error,1.0,1.0,1024
1,0.0,0.0,X,0,constant_0,E1_before_H,1.0,1.0,1024
1,0.0,0.0,X,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,0.0,0.0,X,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,0.0,0.0,X,0,constant_0,E4_after_final_H,1.0,1.0,1024
1,0.0,0.0,X,0,constant_1,no_error,1.0,1.0,1024
1,0.0,0.0,X,0,constant_1,E1_before_H,1.0,1.0,1024
1,0.0,0.0,X,0,constant_1,E2_after_first_H,1.0,1.0,1024
1,0.0,0.0,X,0,constant_1,E3_after_oracle,1.0,1.0,1024
1,0.0,0.0,X,0,constant_1,E4_after_final_H,1.0,1.0,1024
1,0.0,0.0,X,0,balanced,no_error,0.0,1.0,1024
1,0.0,0.0,X,0,balanced,E1_before_H,0.0,1.0,1024
1,0.0,0.0,X,0,balanced,E2_after_first_H,0.0,1.0,1024
1,0.0,0.0,X,0,balanced,E3_after_oracle,0.0,1.0,1024
1,0.0,0.0,X,0,balanced,E4_after_final_H,0.0,1.0,1024
1,0.0,0.0,Y,0,constant_0,no_error,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_0,E1_before_H,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_0,E4_after_final_H,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_1,no_error,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_1,E1_before_H,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_1,E2_after_first_H,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_1,E3_after_oracle,1.0,1.0,1024
1,0.0,0.0,Y,0,constant_1,E4_after_final_H,1.0,1.0,1024
1,0.0,0.0,Y,0,balanced,no_error,0.0,1.0,1024
1,0.0,0.0,Y,0,balanced,E1_before_H,0.0,1.0,1024
1,0.0,0.0,Y,0,balanced,E2_after_first_H,0.0,1.0,1024
1,0.0,0.0,Y,0,balanced,E3_after_oracle,0.0,1.0,1024
1,0.0,0.0,Y,0,balanced,E4_after_final_H,0.0,1.0,1024
1,0.0,0.0,Z,0,constant_0,no_error,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_0,E1_before_H,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_1,no_error,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_1,E1_before_H,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_1,E2_after_first_H,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_1,E3_after_oracle,1.0,1.0,1024
1,0.0,0.0,Z,0,constant_1,E4_after_final_H,1.0,1.0,1024
1,0.0,0.0,Z,0,balanced,no_error,0.0,1.0,1024
1,0.0,0.0,Z,0,balanced,E1_before_H,0.0,1.0,1024
1,0.0,0.0,Z,0,balanced,E2_after_first_H,0.0,1.0,1024
1,0.0,0.0,Z,0,balanced,E3_after_oracle,0.0,1.0,1024
1,0.0,0.0,Z,0,balanced,E4_after_final_H,0.0,1.0,1024
1,0.17453292519943295,10.0,X,0,constant_0,no_error,1.0,1.0,1024
1,0.17453292519943295,10.0,X,0,constant_0,E1_before_H,0.9892578125,0.9892578125,1024
1,0.17453292519943295,10.0,X,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,0.17453292519943295,10.0,X,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,0.17453292519943295,10.0,X,0,constant_0,E4_after_final_H,0.9921875,0.9921875,1024
