n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error_if_sampled,shots_reference
1,0.0,0.0,X,0,E1_before_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,X,0,E2_after_first_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,X,0,E3_after_oracle,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,X,0,E4_after_final_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Y,0,E1_before_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Y,0,E2_after_first_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Y,0,E3_after_oracle,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Y,0,E4_after_final_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Z,0,E1_before_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Z,0,E2_after_first_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Z,0,E3_after_oracle,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Z,0,E4_after_final_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.0,0.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.017453292519943295,1.0,X,0,E1_before_H,0.9999238475781952,0.00027269385058332276,1024
1,0.017453292519943295,1.0,X,0,E2_after_first_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.017453292519943295,1.0,X,0,E3_after_oracle,0.9999999999999997,4.390296719884794e-10,1024
1,0.017453292519943295,1.0,X,0,E4_after_final_H,0.9999238475781954,0.0002726938505829252,1024
1,0.017453292519943295,1.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.017453292519943295,1.0,Y,0,E1_before_H,0.9999238475781952,0.00027269385058332276,1024
1,0.017453292519943295,1.0,Y,0,E2_after_first_H,0.9999238475781952,0.00027269385058332276,1024
1,0.017453292519943295,1.0,Y,0,E3_after_oracle,0.9999238475781952,0.00027269385058332276,1024
1,0.017453292519943295,1.0,Y,0,E4_after_final_H,0.9999238475781954,0.0002726938505829252,1024
1,0.017453292519943295,1.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.017453292519943295,1.0,Z,0,E1_before_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.017453292519943295,1.0,Z,0,E2_after_first_H,0.9999238475781952,0.00027269385058332276,1024
1,0.017453292519943295,1.0,Z,0,E3_after_oracle,0.9999238475781952,0.00027269385058332276,1024
1,0.017453292519943295,1.0,Z,0,E4_after_final_H,0.9999999999999999,3.104408582051595e-10,1024
1,0.017453292519943295,1.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.03490658503988659,2.0,X,0,E1_before_H,0.9996954135095475,0.0005453046359768779,1024
1,0.03490658503988659,2.0,X,0,E2_after_first_H,0.9999999999999999,3.104408582051595e-10,1024
1,0.03490658503988659,2.0,X,0,E3_after_oracle,0.9999999999999999,3.104408582051595e-10,1024
