n,p,target_qubit,function,error_position,P0,shots
1,0.0,0,constant_1,no_error,1.0,4096
1,0.0,0,constant_1,D(P)1_before_H,1.0,4096
1,0.0,0,constant_1,D(P)2_after_first_H,1.0,4096
1,0.0,0,constant_1,D(P)3_after_oracle,1.0,4096
1,0.0,0,constant_1,D(P)4_after_final_H,1.0,4096
1,0.05,0,constant_1,no_error,1.0,4096
1,0.05,0,constant_1,D(P)1_before_H,0.975830078125,4096
1,0.05,0,constant_1,D(P)2_after_first_H,0.97412109375,4096
1,0.05,0,constant_1,D(P)3_after_oracle,0.974853515625,4096
1,0.05,0,constant_1,D(P)4_after_final_H,0.974853515625,4096
1,0.1,0,constant_1,no_error,1.0,4096
1,0.1,0,constant_1,D(P)1_before_H,0.949462890625,4096
1,0.1,0,constant_1,D(P)2_after_first_H,0.950927734375,4096
1,0.1,0,constant_1,D(P)3_after_oracle,0.951416015625,4096
1,0.1,0,constant_1,D(P)4_after_final_H,0.944580078125,4096
1,0.15000000000000002,0,constant_1,no_error,1.0,4096
1,0.15000000000000002,0,constant_1,D(P)1_before_H,0.9169921875,4096
1,0.15000000000000002,0,constant_1,D(P)2_after_first_H,0.927978515625,4096
1,0.15000000000000002,0,constant_1,D(P)3_after_oracle,0.927490234375,4096
1,0.15000000000000002,0,constant_1,D(P)4_after_final_H,0.931640625,4096
1,0.2,0,constant_1,no_error,1.0,4096
1,0.2,0,constant_1,D(P)1_before_H,0.901123046875,4096
1,0.2,0,constant_1,D(P)2_after_first_H,0.896240234375,4096
1,0.2,0,constant_1,D(P)3_after_oracle,0.89453125,4096
1,0.2,0,constant_1,D(P)4_after_final_H,0.9013671875,4096
1,0.25,0,constant_1,no_error,1.0,4096
1,0.25,0,constant_1,D(P)1_before_H,0.87744140625,4096
1,0.25,0,constant_1,D(P)2_after_first_H,0.8701171875,4096
1,0.25,0,constant_1,D(P)3_after_oracle,0.87548828125,4096
1,0.25,0,constant_1,D(P)4_after_final_H,0.8798828125,4096
1,0.30000000000000004,0,constant_1,no_error,1.0,4096
1,0.30000000000000004,0,constant_1,D(P)1_before_H,0.852783203125,4096
1,0.30000000000000004,0,constant_1,D(P)2_after_first_H,0.84716796875,4096
1,0.30000000000000004,0,constant_1,D(P)3_after_oracle,0.855224609375,4096
1,0.30000000000000004,0,constant_1,D(P)4_after_final_H,0.852783203125,4096
1,0.35000000000000003,0,constant_1,no_error,1.0,4096
