n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success_probability,std_error,shots
1,0.0,0.0,X,0,constant_1,no_error,1.0,1.0,0.0,1024
1,0.0,0.0,X,0,constant_1,E1_before_H,1.0,1.0,0.0,1024
1,0.0,0.0,X,0,constant_1,E2_after_first_H,1.0,1.0,0.0,1024
1,0.0,0.0,X,0,constant_1,E3_after_oracle,1.0,1.0,0.0,1024
1,0.0,0.0,X,0,constant_1,E4_after_final_H,1.0,1.0,0.0,1024
1,0.0,0.0,Y,0,constant_1,no_error,1.0,1.0,0.0,1024
1,0.0,0.0,Y,0,constant_1,E1_before_H,1.0,1.0,0.0,1024
1,0.0,0.0,Y,0,constant_1,E2_after_first_H,1.0,1.0,0.0,1024
1,0.0,0.0,Y,0,constant_1,E3_after_oracle,1.0,1.0,0.0,1024
1,0.0,0.0,Y,0,constant_1,E4_after_final_H,1.0,1.0,0.0,1024
1,0.0,0.0,Z,0,constant_1,no_error,1.0,1.0,0.0,1024
1,0.0,0.0,Z,0,constant_1,E1_before_H,1.0,1.0,0.0,1024
1,0.0,0.0,Z,0,constant_1,E2_after_first_H,1.0,1.0,0.0,1024
1,0.0,0.0,Z,0,constant_1,E3_after_oracle,1.0,1.0,0.0,1024
1,0.0,0.0,Z,0,constant_1,E4_after_final_H,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,constant_1,no_error,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,constant_1,E1_before_H,0.9873046875,0.9873046875,0.0034986243865512676,1024
1,0.17453292519943295,10.0,X,0,constant_1,E2_after_first_H,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,constant_1,E3_after_oracle,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,constant_1,E4_after_final_H,0.98828125,0.98828125,0.003363031570790017,1024
1,0.17453292519943295,10.0,Y,0,constant_1,no_error,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,Y,0,constant_1,E1_before_H,0.994140625,0.994140625,0.002385061484689932,1024
