n,theta_rad,theta_deg,axis,target_qubit,error_position,P0_constant,P0_balanced,success_constant,success_balanced,average_success,shots
1,0.0,0.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,X,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,X,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Y,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Y,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Y,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Y,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Z,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Z,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,0.0,0.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.17453292519943295,10.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.17453292519943295,10.0,X,0,E1_before_H,0.994140625,0.0087890625,0.994140625,0.9912109375,0.99267578125,1024
1,0.17453292519943295,10.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.17453292519943295,10.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,0.17453292519943295,10.0,X,0,E4_after_final_H,0.990234375,0.005859375,0.990234375,0.994140625,0.9921875,1024
1,0.17453292519943295,10.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.17453292519943295,10.0,Y,0,E1_before_H,0.9931640625,0.0107421875,0.9931640625,0.9892578125,0.9912109375,1024
1,0.17453292519943295,10.0,Y,0,E2_after_first_H,0.9970703125,0.005859375,0.9970703125,0.994140625,0.99560546875,1024
1,0.17453292519943295,10.0,Y,0,E3_after_oracle,0.9892578125,0.001953125,0.9892578125,0.998046875,0.99365234375,1024
1,0.17453292519943295,10.0,Y,0,E4_after_final_H,0.9921875,0.009765625,0.9921875,0.990234375,0.9912109375,1024
1,0.17453292519943295,10.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,E2_after_first_H,0.9912109375,0.005859375,0.9912109375,0.994140625,0.99267578125,1024
1,0.17453292519943295,10.0,Z,0,E3_after_oracle,0.990234375,0.001953125,0.990234375,0.998046875,0.994140625,1024
1,0.17453292519943295,10.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,E1_before_H,0.9677734375,0.0390625,0.9677734375,0.9609375,0.96435546875,1024
1,0.3490658503988659,20.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,E4_after_final_H,0.96875,0.021484375,0.96875,0.978515625,0.9736328125,1024
1,0.3490658503988659,20.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.3490658503988659,20.0,Y,0,E1_before_H,0.9677734375,0.033203125,0.9677734375,0.966796875,0.96728515625,1024
1,0.3490658503988659,20.0,Y,0,E2_after_first_H,0.9677734375,0.03515625,0.9677734375,0.96484375,0.96630859375,1024
1,0.3490658503988659,20.0,Y,0,E3_after_oracle,0.97265625,0.029296875,0.97265625,0.970703125,0.9716796875,1024
1,0.3490658503988659,20.0,Y,0,E4_after_final_H,0.9794921875,0.0322265625,0.9794921875,0.9677734375,0.9736328125,1024
1,0.3490658503988659,20.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,E2_after_first_H,0.96875,0.03515625,0.96875,0.96484375,0.966796875,1024
1,0.3490658503988659,20.0,Z,0,E3_after_oracle,0.9677734375,0.029296875,0.9677734375,0.970703125,0.96923828125,1024
1,0.3490658503988659,20.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
