n,function,axis,Error Location,Max_Sensitivity,Mean_Sensitivity
1,balanced,X,E1,1.0,0.4995888157894737
1,balanced,X,E2,0.0,0.0
1,balanced,X,E3,0.0,0.0
1,balanced,X,E4,1.0,0.5010793585526315
1,balanced,Y,E1,1.0,0.501233552631579
1,balanced,Y,E2,1.0,0.5023643092105263
1,balanced,Y,E3,1.0,0.5047800164473685
1,balanced,Y,E4,1.0,0.5037006578947368
1,balanced,Z,E1,0.0,0.0
1,balanced,Z,E2,1.0,0.5
1,balanced,Z,E3,1.0,0.4998972039473684
1,balanced,Z,E4,0.0,0.0
1,constant_0,X,E1,1.0,0.5029810855263158
1,constant_0,X,E2,0.0,0.0
1,constant_0,X,E3,0.0,0.0
1,constant_0,X,E4,1.0,0.5021073190789473
1,constant_0,Y,E1,1.0,0.4958367598684211
1,constant_0,Y,E2,1.0,0.5006167763157895
1,constant_0,Y,E3,1.0,0.5032894736842105
1,constant_0,Y,E4,1.0,0.4995374177631579
1,constant_0,Z,E1,0.0,0.0
1,constant_0,Z,E2,1.0,0.4995888157894737
1,constant_0,Z,E3,1.0,0.49871504934210525
1,constant_0,Z,E4,0.0,0.0
1,constant_1,X,E1,1.0,0.49835526315789475
1,constant_1,X,E2,0.0,0.0
1,constant_1,X,E3,0.0,0.0
1,constant_1,X,E4,1.0,0.49979440789473684
1,constant_1,Y,E1,1.0,0.5008223684210527
1,constant_1,Y,E2,1.0,0.501953125
1,constant_1,Y,E3,1.0,0.498046875
1,constant_1,Y,E4,1.0,0.49712171052631576
1,constant_1,Z,E1,0.0,0.0
1,constant_1,Z,E2,1.0,0.5016447368421053
1,constant_1,Z,E3,1.0,0.4986122532894737
1,constant_1,Z,E4,0.0,0.0
3,balanced,X,E1,0.0,0.0
3,balanced,X,E2,0.0,0.0
3,balanced,X,E3,0.0,0.0
3,balanced,X,E4,0.0,0.0
3,balanced,Y,E1,0.0,0.0
3,balanced,Y,E2,0.0,0.0
3,balanced,Y,E3,0.0,0.0
3,balanced,Y,E4,0.0,0.0
3,balanced,Z,E1,0.0,0.0
3,balanced,Z,E2,0.0,0.0
3,balanced,Z,E3,0.0,0.0
3,balanced,Z,E4,0.0,0.0
3,constant_0,X,E1,1.0,0.5030324835526315
3,constant_0,X,E2,0.0,0.0
3,constant_0,X,E3,0.0,0.0
3,constant_0,X,E4,1.0,0.4945518092105263
3,constant_0,Y,E1,1.0,0.4965049342105263
3,constant_0,Y,E2,1.0,0.49922902960526316
3,constant_0,Y,E3,1.0,0.500719572368421
3,constant_0,Y,E4,1.0,0.49640213815789475
3,constant_0,Z,E1,0.0,0.0
3,constant_0,Z,E2,1.0,0.500719572368421
3,constant_0,Z,E3,1.0,0.5026212993421053
3,constant_0,Z,E4,0.0,0.0
3,constant_1,X,E1,1.0,0.4994860197368421
3,constant_1,X,E2,0.0,0.0
3,constant_1,X,E3,0.0,0.0
3,constant_1,X,E4,1.0,0.49629934210526316
3,constant_1,Y,E1,1.0,0.4998972039473684
3,constant_1,Y,E2,1.0,0.4994860197368421
3,constant_1,Y,E3,1.0,0.5008223684210527
3,constant_1,Y,E4,1.0,0.4970703125
3,constant_1,Z,E1,0.0,0.0
3,constant_1,Z,E2,1.0,0.4964535361842105
3,constant_1,Z,E3,1.0,0.4952199835526316
3,constant_1,Z,E4,0.0,0.0
5,balanced,X,E1,0.0,0.0
5,balanced,X,E2,0.0,0.0
5,balanced,X,E3,0.0,0.0
5,balanced,X,E4,0.0,0.0
5,balanced,Y,E1,0.0,0.0
5,balanced,Y,E2,0.0,0.0
5,balanced,Y,E3,0.0,0.0
5,balanced,Y,E4,0.0,0.0
5,balanced,Z,E1,0.0,0.0
5,balanced,Z,E2,0.0,0.0
5,balanced,Z,E3,0.0,0.0
5,balanced,Z,E4,0.0,0.0
5,constant_0,X,E1,1.0,0.4992804276315789
5,constant_0,X,E2,0.0,0.0
5,constant_0,X,E3,0.0,0.0
5,constant_0,X,E4,1.0,0.5001541940789473
5,constant_0,Y,E1,1.0,0.5030838815789473
5,constant_0,Y,E2,1.0,0.4961965460526316
5,constant_0,Y,E3,1.0,0.49712171052631576
5,constant_0,Y,E4,1.0,0.5009251644736842
5,constant_0,Z,E1,0.0,0.0
5,constant_0,Z,E2,1.0,0.5014391447368421
5,constant_0,Z,E3,1.0,0.5002055921052632
5,constant_0,Z,E4,0.0,0.0
5,constant_1,X,E1,1.0,0.500256990131579
5,constant_1,X,E2,0.0,0.0
5,constant_1,X,E3,0.0,0.0
5,constant_1,X,E4,1.0,0.4974300986842105
5,constant_1,Y,E1,1.0,0.4975328947368421
5,constant_1,Y,E2,1.0,0.49907483552631576
5,constant_1,Y,E3,1.0,0.49922902960526316
5,constant_1,Y,E4,1.0,0.5015933388157895
5,constant_1,Z,E1,0.0,0.0
5,constant_1,Z,E2,1.0,0.5010279605263158
5,constant_1,Z,E3,1.0,0.49727590460526316
5,constant_1,Z,E4,0.0,0.0
7,balanced,X,E1,0.0,0.0
7,balanced,X,E2,0.0,0.0
7,balanced,X,E3,0.0,0.0
7,balanced,X,E4,0.0,0.0
7,balanced,Y,E1,0.0,0.0
7,balanced,Y,E2,0.0,0.0
7,balanced,Y,E3,0.0,0.0
7,balanced,Y,E4,0.0,0.0
7,balanced,Z,E1,0.0,0.0
7,balanced,Z,E2,0.0,0.0
7,balanced,Z,E3,0.0,0.0
7,balanced,Z,E4,0.0,0.0
7,constant_0,X,E1,1.0,0.5008737664473685
7,constant_0,X,E2,0.0,0.0
7,constant_0,X,E3,0.0,0.0
7,constant_0,X,E4,1.0,0.5032894736842105
7,constant_0,Y,E1,1.0,0.5015419407894737
7,constant_0,Y,E2,1.0,0.49907483552631576
7,constant_0,Y,E3,1.0,0.5013877467105263
7,constant_0,Y,E4,1.0,0.5032380756578947
7,constant_0,Z,E1,0.0,0.0
7,constant_0,Z,E2,1.0,0.49886924342105265
7,constant_0,Z,E3,1.0,0.5023643092105263
7,constant_0,Z,E4,0.0,0.0
7,constant_1,X,E1,1.0,0.5020045230263158
7,constant_1,X,E2,0.0,0.0
7,constant_1,X,E3,0.0,0.0
7,constant_1,X,E4,1.0,0.501696134868421
7,constant_1,Y,E1,1.0,0.50390625
7,constant_1,Y,E2,1.0,0.5024671052631579
7,constant_1,Y,E3,1.0,0.49922902960526316
7,constant_1,Y,E4,1.0,0.5037006578947368
7,constant_1,Z,E1,0.0,0.0
7,constant_1,Z,E2,1.0,0.5003597861842105
7,constant_1,Z,E3,1.0,0.506116365131579
7,constant_1,Z,E4,0.0,0.0
9,balanced,X,E1,0.0,0.0
9,balanced,X,E2,0.0,0.0
9,balanced,X,E3,0.0,0.0
9,balanced,X,E4,0.0,0.0
9,balanced,Y,E1,0.0,0.0
9,balanced,Y,E2,0.0,0.0
9,balanced,Y,E3,0.0,0.0
9,balanced,Y,E4,0.0,0.0
9,balanced,Z,E1,0.0,0.0
9,balanced,Z,E2,0.0,0.0
9,balanced,Z,E3,0.0,0.0
9,balanced,Z,E4,0.0,0.0
9,constant_0,X,E1,1.0,0.5014391447368421
9,constant_0,X,E2,0.0,0.0
9,constant_0,X,E3,0.0,0.0
9,constant_0,X,E4,1.0,0.5003083881578947
9,constant_0,Y,E1,1.0,0.5025185032894737
9,constant_0,Y,E2,1.0,0.49984580592105265
9,constant_0,Y,E3,1.0,0.49984580592105265
9,constant_0,Y,E4,1.0,0.49383223684210525
9,constant_0,Z,E1,0.0,0.0
9,constant_0,Z,E2,1.0,0.4976356907894737
9,constant_0,Z,E3,1.0,0.5008223684210527
9,constant_0,Z,E4,0.0,0.0
